Strain,RefSeq Assembly Accession #,SRA Accession #
103,GCF_003892645,SRR7534319
149,GCF_003892555,SRR7534320
276,GCF_003892545,SRR7534321
527,GCF_003892535,SRR7534322
731,GCF_003892485,SRR7534279
906,GCF_003886695,SRR7534316
923,GCF_003892635,SRR7534282
928,GCF_003892445,SRR7534318
931,GCF_003886495,SRR7534313
933,GCF_003886675,SRR7534314
934,GCF_003892475,SRR7534305
939,GCF_003885295,SRR7534289
949,GCF_003892435,SRR7534306
1012,GCF_003886455,SRR7534307
1091,GCF_003886445,SRR7534308
1093,GCF_003885215,SRR7534290
1160,GCF_003892605,SRR7534309
1161,GCF_003885195,SRR7534291
1162,GCF_003892455,SRR7534310
1180,GCF_003892375,SRR7534311
1193,GCF_003892595,SRR7534312
1195,GCF_003886435,SRR7534297
1202,GCF_003886395,SRR7534298
1220,GCF_003886385,SRR7534271
1221,GCF_003885055,SRR8185535
1223,GCF_003886375,SRR7534270
1225,GCF_003886735,SRR7534273
1228,GCF_003886655,SRR7534272
1229,GCF_003886345,SRR7534267
1284,GCF_003892355,SRR7534266
1285,GCF_003886635,SRR7534269
1335,GCF_003886615,SRR7534268
1337,GCF_003886325,SRR7534277
1346,GCF_003886295,SRR7534276
1347,GCF_003886285,SRR7534303
1348,GCF_003886275,SRR7534304
1354,GCF_003886225,SRR7534301
1356,GCF_003886245,SRR7534302
1358,GCF_003886195,SRR7534299
1359,GCF_003886185,SRR7534300
1360,GCF_003886565,SRR7534285
1362,GCF_003886175,SRR7534274
1526,GCF_003886105,SRR7534315
1727,GCF_003886135,SRR7534325
2019,GCF_003886115,SRR7534280
2055,GCF_003886095,SRR7534278
2328,GCF_003886545,SRR7534293
3538,GCF_003886535,SRR7534286
3641,GCF_003885305,SRR7534292
3643,GCF_003885095,SRR8185536
4656,GCF_003886515,SRR7534284
4716,GCF_003885995,SRR7534287
4746,GCF_003886045,SRR7534283
5337,GCF_003886035,SRR7534281
5814,GCF_003886015,SRR7534275
5924,GCF_003886005,SRR7534324
5978,GCF_003885915,SRR7534323
6454,GCF_003885245,SRR7534294
6471,GCF_003885155,SRR7534327
6611,GCF_003885875,SRR7534295
6653,GCF_003885965,"SRR7534296, SRR8182356"
6655,GCF_003885255,SRR7534326
6713,GCF_003885145,SRR7534329
6721,GCF_003885125,"SRR7534328, SRR8182355"
6890,GCF_003885035,SRR7534331
7431,GCF_003885225,"SRR7534330, SRR8182357"

