name,ARR_-.match,aac_3__II-.match,aac_6___Ib_cr+.match,aadA-.match,aadA-_1.match,aadA1+.match,aadA16.match,aph_3____Ib.match,aph_6__Id.match,bla-_7.match,blaCTX_M_-.match,blaOXA_-_5.match,blaTEM_-.match,dfrA-.match,dfrA12.match,dfrA14.match,dfrA2-.match,dfrA8.match,mdf_A_.match,mph_A_.match,sul1.match,sul2.match,tet_A_.match,tet_B_.match,tet_D_.match
1012/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
103/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1091/ariba_resfinder_parameter_test_out/report.tsv,no,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,no
1093/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no
1160/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no
1161/ariba_resfinder_parameter_test_out/report.tsv,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,no
1162/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no
1180/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
1193/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes
1195/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
1202/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
1220/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
1221/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no
1223/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,no
1225/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1228/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
1229/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes
1284/ariba_resfinder_parameter_test_out/report.tsv,no,no,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,no
1285/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
1335/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
1337/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
1346/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
1347/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
1348/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no
1354/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
1356/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
1358/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
1359/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
1360/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
1362/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
149/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
1526/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no
1727/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
2019/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
2055/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
2328/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
276/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
3538/ariba_resfinder_parameter_test_out/report.tsv,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
3641/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no
3643/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
4656/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
4716/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
4746/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
527/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
5337/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
5814/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no
5924/ariba_resfinder_parameter_test_out/report.tsv,no,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,no
5978/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,no
6454/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
6471/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
6611/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
6653/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no
6655/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
6713/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no
6721/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no
6890/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
731/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
7431/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
906/ariba_resfinder_parameter_test_out/report.tsv,no,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,no
923/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
928/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,no
931/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,no
933/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no
934/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,no
939/ariba_resfinder_parameter_test_out/report.tsv,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no
949/ariba_resfinder_parameter_test_out/report.tsv,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,no
